Time Passed,Skips,Answered Questions,Correct Answers,Accuracy (%),Speed,Category,AI Comment
49.56,38,28,26,92.86,0.56,Très Fort,"The candidate demonstrated excellent analytical skills, answering 92.86% of the questions correctly while maintaining a consistent pace throughout the test. Their speed and accuracy suggest strong cognitive abilities. Despite the challenging complexity of the test, they were able to finish most questions without hesitation."
19.61,38,19,7,36.84,0.97,Faible,"The candidate demonstrated limited performance, answering only 36.84% of the questions correctly. A high skip rate of 38% reflects uncertainty or indecision in handling complex questions. The completion time was slower than average, which may indicate difficulty or overthinking in some sections. Further training and focus on problem-solving strategies are recommended."
39.69,32,20,15,75.0,0.5,Fort,"The candidate showed strong performance, answering 75.0% of the questions correctly. They maintained a good pace with a solid understanding of most concepts. However, the higher-than-average skip rate of 32% suggests they faced challenges with some of the more difficult questions. A slightly longer completion time indicates a thoughtful but measured approach."
40.63,3,19,13,68.42,0.47,Fort,"The candidate showed strong performance, answering 68.42% of the questions correctly. They maintained a good pace with a solid understanding of most concepts. However, the higher-than-average skip rate of 3% suggests they faced challenges with some of the more difficult questions. A slightly longer completion time indicates a thoughtful but measured approach."
14.73,33,35,30,85.71,2.38,Très Fort,"The candidate demonstrated excellent analytical skills, answering 85.71% of the questions correctly while maintaining a consistent pace throughout the test. Their speed and accuracy suggest strong cognitive abilities. Despite the challenging complexity of the test, they were able to finish most questions without hesitation."
55.05,16,27,9,33.33,0.49,Faible,"The candidate demonstrated limited performance, answering only 33.33% of the questions correctly. A high skip rate of 16% reflects uncertainty or indecision in handling complex questions. The completion time was slower than average, which may indicate difficulty or overthinking in some sections. Further training and focus on problem-solving strategies are recommended."
15.71,21,32,5,15.62,2.04,Très Faible,"The candidate's performance was below expectations, with only 15.62% of the questions answered correctly. The high skip rate of 21% points to difficulty with the test's complexity. Their slower-than-average pace suggests time pressure may have hindered their performance. A detailed assessment could help identify areas for improvement and strategies to overcome cognitive barriers."
26.41,9,8,3,37.5,0.3,Faible,"The candidate demonstrated limited performance, answering only 37.5% of the questions correctly. A high skip rate of 9% reflects uncertainty or indecision in handling complex questions. The completion time was slower than average, which may indicate difficulty or overthinking in some sections. Further training and focus on problem-solving strategies are recommended."
43.83,12,33,21,63.64,0.75,Fort,"The candidate showed strong performance, answering 63.64% of the questions correctly. They maintained a good pace with a solid understanding of most concepts. However, the higher-than-average skip rate of 12% suggests they faced challenges with some of the more difficult questions. A slightly longer completion time indicates a thoughtful but measured approach."
56.25,30,28,12,42.86,0.5,Moyen,"The candidate performed moderately well, answering 42.86% of the questions correctly. While they exhibited some strong analytical abilities, their 30% skipped questions and a slower-than-average pace suggest a struggle with more complex questions. Time management could be improved to allow for a more thorough attempt at each question."
23.13,8,32,16,50.0,1.38,Moyen,"The candidate performed moderately well, answering 50.0% of the questions correctly. While they exhibited some strong analytical abilities, their 8% skipped questions and a slower-than-average pace suggest a struggle with more complex questions. Time management could be improved to allow for a more thorough attempt at each question."
58.0,16,32,6,18.75,0.55,Très Faible,"The candidate's performance was below expectations, with only 18.75% of the questions answered correctly. The high skip rate of 16% points to difficulty with the test's complexity. Their slower-than-average pace suggests time pressure may have hindered their performance. A detailed assessment could help identify areas for improvement and strategies to overcome cognitive barriers."
34.65,14,15,2,13.33,0.43,Très Faible,"The candidate's performance was below expectations, with only 13.33% of the questions answered correctly. The high skip rate of 14% points to difficulty with the test's complexity. Their slower-than-average pace suggests time pressure may have hindered their performance. A detailed assessment could help identify areas for improvement and strategies to overcome cognitive barriers."
21.08,16,17,10,58.82,0.81,Moyen,"The candidate performed moderately well, answering 58.82% of the questions correctly. While they exhibited some strong analytical abilities, their 16% skipped questions and a slower-than-average pace suggest a struggle with more complex questions. Time management could be improved to allow for a more thorough attempt at each question."
49.08,15,14,9,64.29,0.29,Faible,"The candidate demonstrated limited performance, answering only 64.29% of the questions correctly. A high skip rate of 15% reflects uncertainty or indecision in handling complex questions. The completion time was slower than average, which may indicate difficulty or overthinking in some sections. Further training and focus on problem-solving strategies are recommended."
49.24,31,36,13,36.11,0.73,Faible,"The candidate demonstrated limited performance, answering only 36.11% of the questions correctly. A high skip rate of 31% reflects uncertainty or indecision in handling complex questions. The completion time was slower than average, which may indicate difficulty or overthinking in some sections. Further training and focus on problem-solving strategies are recommended."
11.43,26,22,4,18.18,1.92,Très Faible,"The candidate's performance was below expectations, with only 18.18% of the questions answered correctly. The high skip rate of 26% points to difficulty with the test's complexity. Their slower-than-average pace suggests time pressure may have hindered their performance. A detailed assessment could help identify areas for improvement and strategies to overcome cognitive barriers."
35.88,22,16,9,56.25,0.45,Moyen,"The candidate performed moderately well, answering 56.25% of the questions correctly. While they exhibited some strong analytical abilities, their 22% skipped questions and a slower-than-average pace suggest a struggle with more complex questions. Time management could be improved to allow for a more thorough attempt at each question."
37.15,23,28,20,71.43,0.75,Fort,"The candidate showed strong performance, answering 71.43% of the questions correctly. They maintained a good pace with a solid understanding of most concepts. However, the higher-than-average skip rate of 23% suggests they faced challenges with some of the more difficult questions. A slightly longer completion time indicates a thoughtful but measured approach."
14.86,26,27,24,88.89,1.82,Très Fort,"The candidate demonstrated excellent analytical skills, answering 88.89% of the questions correctly while maintaining a consistent pace throughout the test. Their speed and accuracy suggest strong cognitive abilities. Despite the challenging complexity of the test, they were able to finish most questions without hesitation."
52.73,33,30,8,26.67,0.57,Faible,"The candidate demonstrated limited performance, answering only 26.67% of the questions correctly. A high skip rate of 33% reflects uncertainty or indecision in handling complex questions. The completion time was slower than average, which may indicate difficulty or overthinking in some sections. Further training and focus on problem-solving strategies are recommended."
15.48,3,30,26,86.67,1.94,Très Fort,"The candidate demonstrated excellent analytical skills, answering 86.67% of the questions correctly while maintaining a consistent pace throughout the test. Their speed and accuracy suggest strong cognitive abilities. Despite the challenging complexity of the test, they were able to finish most questions without hesitation."
58.69,14,30,6,20.0,0.51,Très Faible,"The candidate's performance was below expectations, with only 20.0% of the questions answered correctly. The high skip rate of 14% points to difficulty with the test's complexity. Their slower-than-average pace suggests time pressure may have hindered their performance. A detailed assessment could help identify areas for improvement and strategies to overcome cognitive barriers."
58.33,19,35,34,97.14,0.6,Très Fort,"The candidate demonstrated excellent analytical skills, answering 97.14% of the questions correctly while maintaining a consistent pace throughout the test. Their speed and accuracy suggest strong cognitive abilities. Despite the challenging complexity of the test, they were able to finish most questions without hesitation."
12.66,36,30,9,30.0,2.37,Faible,"The candidate demonstrated limited performance, answering only 30.0% of the questions correctly. A high skip rate of 36% reflects uncertainty or indecision in handling complex questions. The completion time was slower than average, which may indicate difficulty or overthinking in some sections. Further training and focus on problem-solving strategies are recommended."
59.67,29,30,5,16.67,0.5,Très Faible,"The candidate's performance was below expectations, with only 16.67% of the questions answered correctly. The high skip rate of 29% points to difficulty with the test's complexity. Their slower-than-average pace suggests time pressure may have hindered their performance. A detailed assessment could help identify areas for improvement and strategies to overcome cognitive barriers."
58.99,27,21,17,80.95,0.36,Moyen,"The candidate performed moderately well, answering 80.95% of the questions correctly. While they exhibited some strong analytical abilities, their 27% skipped questions and a slower-than-average pace suggest a struggle with more complex questions. Time management could be improved to allow for a more thorough attempt at each question."
29.66,9,28,24,85.71,0.94,Très Fort,"The candidate demonstrated excellent analytical skills, answering 85.71% of the questions correctly while maintaining a consistent pace throughout the test. Their speed and accuracy suggest strong cognitive abilities. Despite the challenging complexity of the test, they were able to finish most questions without hesitation."
37.49,0,39,21,53.85,1.04,Moyen,"The candidate performed moderately well, answering 53.85% of the questions correctly. While they exhibited some strong analytical abilities, their 0% skipped questions and a slower-than-average pace suggest a struggle with more complex questions. Time management could be improved to allow for a more thorough attempt at each question."
37.6,29,38,29,76.32,1.01,Fort,"The candidate showed strong performance, answering 76.32% of the questions correctly. They maintained a good pace with a solid understanding of most concepts. However, the higher-than-average skip rate of 29% suggests they faced challenges with some of the more difficult questions. A slightly longer completion time indicates a thoughtful but measured approach."
15.53,23,20,8,40.0,1.29,Faible,"The candidate demonstrated limited performance, answering only 40.0% of the questions correctly. A high skip rate of 23% reflects uncertainty or indecision in handling complex questions. The completion time was slower than average, which may indicate difficulty or overthinking in some sections. Further training and focus on problem-solving strategies are recommended."
22.54,24,37,6,16.22,1.64,Très Faible,"The candidate's performance was below expectations, with only 16.22% of the questions answered correctly. The high skip rate of 24% points to difficulty with the test's complexity. Their slower-than-average pace suggests time pressure may have hindered their performance. A detailed assessment could help identify areas for improvement and strategies to overcome cognitive barriers."
43.18,36,14,9,64.29,0.32,Moyen,"The candidate performed moderately well, answering 64.29% of the questions correctly. While they exhibited some strong analytical abilities, their 36% skipped questions and a slower-than-average pace suggest a struggle with more complex questions. Time management could be improved to allow for a more thorough attempt at each question."
11.22,15,24,18,75.0,2.14,Fort,"The candidate showed strong performance, answering 75.0% of the questions correctly. They maintained a good pace with a solid understanding of most concepts. However, the higher-than-average skip rate of 15% suggests they faced challenges with some of the more difficult questions. A slightly longer completion time indicates a thoughtful but measured approach."
46.16,37,22,7,31.82,0.48,Faible,"The candidate demonstrated limited performance, answering only 31.82% of the questions correctly. A high skip rate of 37% reflects uncertainty or indecision in handling complex questions. The completion time was slower than average, which may indicate difficulty or overthinking in some sections. Further training and focus on problem-solving strategies are recommended."
11.98,14,5,1,20.0,0.42,Très Faible,"The candidate's performance was below expectations, with only 20.0% of the questions answered correctly. The high skip rate of 14% points to difficulty with the test's complexity. Their slower-than-average pace suggests time pressure may have hindered their performance. A detailed assessment could help identify areas for improvement and strategies to overcome cognitive barriers."
24.13,4,16,10,62.5,0.66,Fort,"The candidate showed strong performance, answering 62.5% of the questions correctly. They maintained a good pace with a solid understanding of most concepts. However, the higher-than-average skip rate of 4% suggests they faced challenges with some of the more difficult questions. A slightly longer completion time indicates a thoughtful but measured approach."
45.85,11,7,7,100.0,0.15,Très Faible,"The candidate's performance was below expectations, with only 100.0% of the questions answered correctly. The high skip rate of 11% points to difficulty with the test's complexity. Their slower-than-average pace suggests time pressure may have hindered their performance. A detailed assessment could help identify areas for improvement and strategies to overcome cognitive barriers."
24.01,21,26,6,23.08,1.08,Faible,"The candidate demonstrated limited performance, answering only 23.08% of the questions correctly. A high skip rate of 21% reflects uncertainty or indecision in handling complex questions. The completion time was slower than average, which may indicate difficulty or overthinking in some sections. Further training and focus on problem-solving strategies are recommended."
26.84,40,16,14,87.5,0.6,Très Fort,"The candidate demonstrated excellent analytical skills, answering 87.5% of the questions correctly while maintaining a consistent pace throughout the test. Their speed and accuracy suggest strong cognitive abilities. Despite the challenging complexity of the test, they were able to finish most questions without hesitation."
25.64,18,39,28,71.79,1.52,Fort,"The candidate showed strong performance, answering 71.79% of the questions correctly. They maintained a good pace with a solid understanding of most concepts. However, the higher-than-average skip rate of 18% suggests they faced challenges with some of the more difficult questions. A slightly longer completion time indicates a thoughtful but measured approach."
32.65,37,28,21,75.0,0.86,Fort,"The candidate showed strong performance, answering 75.0% of the questions correctly. They maintained a good pace with a solid understanding of most concepts. However, the higher-than-average skip rate of 37% suggests they faced challenges with some of the more difficult questions. A slightly longer completion time indicates a thoughtful but measured approach."
50.01,1,25,13,52.0,0.5,Moyen,"The candidate performed moderately well, answering 52.0% of the questions correctly. While they exhibited some strong analytical abilities, their 1% skipped questions and a slower-than-average pace suggest a struggle with more complex questions. Time management could be improved to allow for a more thorough attempt at each question."
30.76,33,24,9,37.5,0.78,Faible,"The candidate demonstrated limited performance, answering only 37.5% of the questions correctly. A high skip rate of 33% reflects uncertainty or indecision in handling complex questions. The completion time was slower than average, which may indicate difficulty or overthinking in some sections. Further training and focus on problem-solving strategies are recommended."
15.2,9,7,6,85.71,0.46,Fort,"The candidate showed strong performance, answering 85.71% of the questions correctly. They maintained a good pace with a solid understanding of most concepts. However, the higher-than-average skip rate of 9% suggests they faced challenges with some of the more difficult questions. A slightly longer completion time indicates a thoughtful but measured approach."
43.71,20,35,25,71.43,0.8,Fort,"The candidate showed strong performance, answering 71.43% of the questions correctly. They maintained a good pace with a solid understanding of most concepts. However, the higher-than-average skip rate of 20% suggests they faced challenges with some of the more difficult questions. A slightly longer completion time indicates a thoughtful but measured approach."
12.92,22,33,22,66.67,2.55,Fort,"The candidate showed strong performance, answering 66.67% of the questions correctly. They maintained a good pace with a solid understanding of most concepts. However, the higher-than-average skip rate of 22% suggests they faced challenges with some of the more difficult questions. A slightly longer completion time indicates a thoughtful but measured approach."
15.09,23,27,17,62.96,1.79,Fort,"The candidate showed strong performance, answering 62.96% of the questions correctly. They maintained a good pace with a solid understanding of most concepts. However, the higher-than-average skip rate of 23% suggests they faced challenges with some of the more difficult questions. A slightly longer completion time indicates a thoughtful but measured approach."
46.72,14,5,4,80.0,0.11,Très Faible,"The candidate's performance was below expectations, with only 80.0% of the questions answered correctly. The high skip rate of 14% points to difficulty with the test's complexity. Their slower-than-average pace suggests time pressure may have hindered their performance. A detailed assessment could help identify areas for improvement and strategies to overcome cognitive barriers."
44.93,34,27,17,62.96,0.6,Fort,"The candidate showed strong performance, answering 62.96% of the questions correctly. They maintained a good pace with a solid understanding of most concepts. However, the higher-than-average skip rate of 34% suggests they faced challenges with some of the more difficult questions. A slightly longer completion time indicates a thoughtful but measured approach."
27.11,29,28,25,89.29,1.03,Très Fort,"The candidate demonstrated excellent analytical skills, answering 89.29% of the questions correctly while maintaining a consistent pace throughout the test. Their speed and accuracy suggest strong cognitive abilities. Despite the challenging complexity of the test, they were able to finish most questions without hesitation."
48.89,40,11,1,9.09,0.22,Très Faible,"The candidate's performance was below expectations, with only 9.09% of the questions answered correctly. The high skip rate of 40% points to difficulty with the test's complexity. Their slower-than-average pace suggests time pressure may have hindered their performance. A detailed assessment could help identify areas for improvement and strategies to overcome cognitive barriers."
55.09,16,8,5,62.5,0.15,Très Faible,"The candidate's performance was below expectations, with only 62.5% of the questions answered correctly. The high skip rate of 16% points to difficulty with the test's complexity. Their slower-than-average pace suggests time pressure may have hindered their performance. A detailed assessment could help identify areas for improvement and strategies to overcome cognitive barriers."
23.59,19,31,5,16.13,1.31,Très Faible,"The candidate's performance was below expectations, with only 16.13% of the questions answered correctly. The high skip rate of 19% points to difficulty with the test's complexity. Their slower-than-average pace suggests time pressure may have hindered their performance. A detailed assessment could help identify areas for improvement and strategies to overcome cognitive barriers."
45.05,15,39,7,17.95,0.87,Très Faible,"The candidate's performance was below expectations, with only 17.95% of the questions answered correctly. The high skip rate of 15% points to difficulty with the test's complexity. Their slower-than-average pace suggests time pressure may have hindered their performance. A detailed assessment could help identify areas for improvement and strategies to overcome cognitive barriers."
40.57,22,11,8,72.73,0.27,Faible,"The candidate demonstrated limited performance, answering only 72.73% of the questions correctly. A high skip rate of 22% reflects uncertainty or indecision in handling complex questions. The completion time was slower than average, which may indicate difficulty or overthinking in some sections. Further training and focus on problem-solving strategies are recommended."
45.71,20,31,7,22.58,0.68,Faible,"The candidate demonstrated limited performance, answering only 22.58% of the questions correctly. A high skip rate of 20% reflects uncertainty or indecision in handling complex questions. The completion time was slower than average, which may indicate difficulty or overthinking in some sections. Further training and focus on problem-solving strategies are recommended."
30.67,13,27,4,14.81,0.88,Très Faible,"The candidate's performance was below expectations, with only 14.81% of the questions answered correctly. The high skip rate of 13% points to difficulty with the test's complexity. Their slower-than-average pace suggests time pressure may have hindered their performance. A detailed assessment could help identify areas for improvement and strategies to overcome cognitive barriers."
50.15,2,22,9,40.91,0.44,Moyen,"The candidate performed moderately well, answering 40.91% of the questions correctly. While they exhibited some strong analytical abilities, their 2% skipped questions and a slower-than-average pace suggest a struggle with more complex questions. Time management could be improved to allow for a more thorough attempt at each question."
18.74,21,6,6,100.0,0.32,Moyen,"The candidate performed moderately well, answering 100.0% of the questions correctly. While they exhibited some strong analytical abilities, their 21% skipped questions and a slower-than-average pace suggest a struggle with more complex questions. Time management could be improved to allow for a more thorough attempt at each question."
35.82,33,33,10,30.3,0.92,Faible,"The candidate demonstrated limited performance, answering only 30.3% of the questions correctly. A high skip rate of 33% reflects uncertainty or indecision in handling complex questions. The completion time was slower than average, which may indicate difficulty or overthinking in some sections. Further training and focus on problem-solving strategies are recommended."
22.32,9,18,4,22.22,0.81,Faible,"The candidate demonstrated limited performance, answering only 22.22% of the questions correctly. A high skip rate of 9% reflects uncertainty or indecision in handling complex questions. The completion time was slower than average, which may indicate difficulty or overthinking in some sections. Further training and focus on problem-solving strategies are recommended."
11.26,33,20,9,45.0,1.78,Moyen,"The candidate performed moderately well, answering 45.0% of the questions correctly. While they exhibited some strong analytical abilities, their 33% skipped questions and a slower-than-average pace suggest a struggle with more complex questions. Time management could be improved to allow for a more thorough attempt at each question."
59.81,40,35,22,62.86,0.59,Fort,"The candidate showed strong performance, answering 62.86% of the questions correctly. They maintained a good pace with a solid understanding of most concepts. However, the higher-than-average skip rate of 40% suggests they faced challenges with some of the more difficult questions. A slightly longer completion time indicates a thoughtful but measured approach."
11.66,37,12,4,33.33,1.03,Faible,"The candidate demonstrated limited performance, answering only 33.33% of the questions correctly. A high skip rate of 37% reflects uncertainty or indecision in handling complex questions. The completion time was slower than average, which may indicate difficulty or overthinking in some sections. Further training and focus on problem-solving strategies are recommended."
30.03,18,17,17,100.0,0.57,Très Fort,"The candidate demonstrated excellent analytical skills, answering 100.0% of the questions correctly while maintaining a consistent pace throughout the test. Their speed and accuracy suggest strong cognitive abilities. Despite the challenging complexity of the test, they were able to finish most questions without hesitation."
18.37,19,24,0,0.0,1.31,Très Faible,"The candidate's performance was below expectations, with only 0.0% of the questions answered correctly. The high skip rate of 19% points to difficulty with the test's complexity. Their slower-than-average pace suggests time pressure may have hindered their performance. A detailed assessment could help identify areas for improvement and strategies to overcome cognitive barriers."
44.69,5,11,10,90.91,0.25,Faible,"The candidate demonstrated limited performance, answering only 90.91% of the questions correctly. A high skip rate of 5% reflects uncertainty or indecision in handling complex questions. The completion time was slower than average, which may indicate difficulty or overthinking in some sections. Further training and focus on problem-solving strategies are recommended."
16.64,37,39,13,33.33,2.34,Faible,"The candidate demonstrated limited performance, answering only 33.33% of the questions correctly. A high skip rate of 37% reflects uncertainty or indecision in handling complex questions. The completion time was slower than average, which may indicate difficulty or overthinking in some sections. Further training and focus on problem-solving strategies are recommended."
10.42,7,37,28,75.68,3.55,Fort,"The candidate showed strong performance, answering 75.68% of the questions correctly. They maintained a good pace with a solid understanding of most concepts. However, the higher-than-average skip rate of 7% suggests they faced challenges with some of the more difficult questions. A slightly longer completion time indicates a thoughtful but measured approach."
45.36,31,20,16,80.0,0.44,Fort,"The candidate showed strong performance, answering 80.0% of the questions correctly. They maintained a good pace with a solid understanding of most concepts. However, the higher-than-average skip rate of 31% suggests they faced challenges with some of the more difficult questions. A slightly longer completion time indicates a thoughtful but measured approach."
34.28,1,20,20,100.0,0.58,Très Fort,"The candidate demonstrated excellent analytical skills, answering 100.0% of the questions correctly while maintaining a consistent pace throughout the test. Their speed and accuracy suggest strong cognitive abilities. Despite the challenging complexity of the test, they were able to finish most questions without hesitation."
55.61,15,12,7,58.33,0.22,Faible,"The candidate demonstrated limited performance, answering only 58.33% of the questions correctly. A high skip rate of 15% reflects uncertainty or indecision in handling complex questions. The completion time was slower than average, which may indicate difficulty or overthinking in some sections. Further training and focus on problem-solving strategies are recommended."
41.47,37,26,24,92.31,0.63,Très Fort,"The candidate demonstrated excellent analytical skills, answering 92.31% of the questions correctly while maintaining a consistent pace throughout the test. Their speed and accuracy suggest strong cognitive abilities. Despite the challenging complexity of the test, they were able to finish most questions without hesitation."
58.07,5,36,13,36.11,0.62,Faible,"The candidate demonstrated limited performance, answering only 36.11% of the questions correctly. A high skip rate of 5% reflects uncertainty or indecision in handling complex questions. The completion time was slower than average, which may indicate difficulty or overthinking in some sections. Further training and focus on problem-solving strategies are recommended."
40.52,3,5,4,80.0,0.12,Très Faible,"The candidate's performance was below expectations, with only 80.0% of the questions answered correctly. The high skip rate of 3% points to difficulty with the test's complexity. Their slower-than-average pace suggests time pressure may have hindered their performance. A detailed assessment could help identify areas for improvement and strategies to overcome cognitive barriers."
12.59,27,29,28,96.55,2.3,Très Fort,"The candidate demonstrated excellent analytical skills, answering 96.55% of the questions correctly while maintaining a consistent pace throughout the test. Their speed and accuracy suggest strong cognitive abilities. Despite the challenging complexity of the test, they were able to finish most questions without hesitation."
18.11,32,26,17,65.38,1.44,Fort,"The candidate showed strong performance, answering 65.38% of the questions correctly. They maintained a good pace with a solid understanding of most concepts. However, the higher-than-average skip rate of 32% suggests they faced challenges with some of the more difficult questions. A slightly longer completion time indicates a thoughtful but measured approach."
40.26,6,10,2,20.0,0.25,Très Faible,"The candidate's performance was below expectations, with only 20.0% of the questions answered correctly. The high skip rate of 6% points to difficulty with the test's complexity. Their slower-than-average pace suggests time pressure may have hindered their performance. A detailed assessment could help identify areas for improvement and strategies to overcome cognitive barriers."
17.35,37,15,11,73.33,0.86,Fort,"The candidate showed strong performance, answering 73.33% of the questions correctly. They maintained a good pace with a solid understanding of most concepts. However, the higher-than-average skip rate of 37% suggests they faced challenges with some of the more difficult questions. A slightly longer completion time indicates a thoughtful but measured approach."
49.28,36,33,32,96.97,0.67,Très Fort,"The candidate demonstrated excellent analytical skills, answering 96.97% of the questions correctly while maintaining a consistent pace throughout the test. Their speed and accuracy suggest strong cognitive abilities. Despite the challenging complexity of the test, they were able to finish most questions without hesitation."
29.18,23,20,4,20.0,0.69,Très Faible,"The candidate's performance was below expectations, with only 20.0% of the questions answered correctly. The high skip rate of 23% points to difficulty with the test's complexity. Their slower-than-average pace suggests time pressure may have hindered their performance. A detailed assessment could help identify areas for improvement and strategies to overcome cognitive barriers."
39.14,29,33,21,63.64,0.84,Fort,"The candidate showed strong performance, answering 63.64% of the questions correctly. They maintained a good pace with a solid understanding of most concepts. However, the higher-than-average skip rate of 29% suggests they faced challenges with some of the more difficult questions. A slightly longer completion time indicates a thoughtful but measured approach."
50.46,13,33,1,3.03,0.65,Très Faible,"The candidate's performance was below expectations, with only 3.03% of the questions answered correctly. The high skip rate of 13% points to difficulty with the test's complexity. Their slower-than-average pace suggests time pressure may have hindered their performance. A detailed assessment could help identify areas for improvement and strategies to overcome cognitive barriers."
52.45,4,22,16,72.73,0.42,Fort,"The candidate showed strong performance, answering 72.73% of the questions correctly. They maintained a good pace with a solid understanding of most concepts. However, the higher-than-average skip rate of 4% suggests they faced challenges with some of the more difficult questions. A slightly longer completion time indicates a thoughtful but measured approach."
23.23,38,25,12,48.0,1.08,Moyen,"The candidate performed moderately well, answering 48.0% of the questions correctly. While they exhibited some strong analytical abilities, their 38% skipped questions and a slower-than-average pace suggest a struggle with more complex questions. Time management could be improved to allow for a more thorough attempt at each question."
18.65,8,14,2,14.29,0.75,Très Faible,"The candidate's performance was below expectations, with only 14.29% of the questions answered correctly. The high skip rate of 8% points to difficulty with the test's complexity. Their slower-than-average pace suggests time pressure may have hindered their performance. A detailed assessment could help identify areas for improvement and strategies to overcome cognitive barriers."
48.84,8,19,13,68.42,0.39,Moyen,"The candidate performed moderately well, answering 68.42% of the questions correctly. While they exhibited some strong analytical abilities, their 8% skipped questions and a slower-than-average pace suggest a struggle with more complex questions. Time management could be improved to allow for a more thorough attempt at each question."
10.19,9,33,18,54.55,3.24,Moyen,"The candidate performed moderately well, answering 54.55% of the questions correctly. While they exhibited some strong analytical abilities, their 9% skipped questions and a slower-than-average pace suggest a struggle with more complex questions. Time management could be improved to allow for a more thorough attempt at each question."
54.37,34,18,3,16.67,0.33,Très Faible,"The candidate's performance was below expectations, with only 16.67% of the questions answered correctly. The high skip rate of 34% points to difficulty with the test's complexity. Their slower-than-average pace suggests time pressure may have hindered their performance. A detailed assessment could help identify areas for improvement and strategies to overcome cognitive barriers."
58.55,19,22,14,63.64,0.38,Moyen,"The candidate performed moderately well, answering 63.64% of the questions correctly. While they exhibited some strong analytical abilities, their 19% skipped questions and a slower-than-average pace suggest a struggle with more complex questions. Time management could be improved to allow for a more thorough attempt at each question."
53.32,15,8,2,25.0,0.15,Très Faible,"The candidate's performance was below expectations, with only 25.0% of the questions answered correctly. The high skip rate of 15% points to difficulty with the test's complexity. Their slower-than-average pace suggests time pressure may have hindered their performance. A detailed assessment could help identify areas for improvement and strategies to overcome cognitive barriers."
20.31,26,23,11,47.83,1.13,Moyen,"The candidate performed moderately well, answering 47.83% of the questions correctly. While they exhibited some strong analytical abilities, their 26% skipped questions and a slower-than-average pace suggest a struggle with more complex questions. Time management could be improved to allow for a more thorough attempt at each question."
33.4,14,34,16,47.06,1.02,Moyen,"The candidate performed moderately well, answering 47.06% of the questions correctly. While they exhibited some strong analytical abilities, their 14% skipped questions and a slower-than-average pace suggest a struggle with more complex questions. Time management could be improved to allow for a more thorough attempt at each question."
12.11,13,13,1,7.69,1.07,Très Faible,"The candidate's performance was below expectations, with only 7.69% of the questions answered correctly. The high skip rate of 13% points to difficulty with the test's complexity. Their slower-than-average pace suggests time pressure may have hindered their performance. A detailed assessment could help identify areas for improvement and strategies to overcome cognitive barriers."
37.36,25,13,11,84.62,0.35,Moyen,"The candidate performed moderately well, answering 84.62% of the questions correctly. While they exhibited some strong analytical abilities, their 25% skipped questions and a slower-than-average pace suggest a struggle with more complex questions. Time management could be improved to allow for a more thorough attempt at each question."
10.91,38,17,17,100.0,1.56,Très Fort,"The candidate demonstrated excellent analytical skills, answering 100.0% of the questions correctly while maintaining a consistent pace throughout the test. Their speed and accuracy suggest strong cognitive abilities. Despite the challenging complexity of the test, they were able to finish most questions without hesitation."
41.24,29,18,14,77.78,0.44,Fort,"The candidate showed strong performance, answering 77.78% of the questions correctly. They maintained a good pace with a solid understanding of most concepts. However, the higher-than-average skip rate of 29% suggests they faced challenges with some of the more difficult questions. A slightly longer completion time indicates a thoughtful but measured approach."
26.71,37,37,37,100.0,1.39,Très Fort,"The candidate demonstrated excellent analytical skills, answering 100.0% of the questions correctly while maintaining a consistent pace throughout the test. Their speed and accuracy suggest strong cognitive abilities. Despite the challenging complexity of the test, they were able to finish most questions without hesitation."
48.21,21,31,14,45.16,0.64,Moyen,"The candidate performed moderately well, answering 45.16% of the questions correctly. While they exhibited some strong analytical abilities, their 21% skipped questions and a slower-than-average pace suggest a struggle with more complex questions. Time management could be improved to allow for a more thorough attempt at each question."
47.41,20,40,37,92.5,0.84,Très Fort,"The candidate demonstrated excellent analytical skills, answering 92.5% of the questions correctly while maintaining a consistent pace throughout the test. Their speed and accuracy suggest strong cognitive abilities. Despite the challenging complexity of the test, they were able to finish most questions without hesitation."
14.12,36,8,1,12.5,0.57,Très Faible,"The candidate's performance was below expectations, with only 12.5% of the questions answered correctly. The high skip rate of 36% points to difficulty with the test's complexity. Their slower-than-average pace suggests time pressure may have hindered their performance. A detailed assessment could help identify areas for improvement and strategies to overcome cognitive barriers."
34.36,26,25,3,12.0,0.73,Très Faible,"The candidate's performance was below expectations, with only 12.0% of the questions answered correctly. The high skip rate of 26% points to difficulty with the test's complexity. Their slower-than-average pace suggests time pressure may have hindered their performance. A detailed assessment could help identify areas for improvement and strategies to overcome cognitive barriers."
42.68,34,33,33,100.0,0.77,Très Fort,"The candidate demonstrated excellent analytical skills, answering 100.0% of the questions correctly while maintaining a consistent pace throughout the test. Their speed and accuracy suggest strong cognitive abilities. Despite the challenging complexity of the test, they were able to finish most questions without hesitation."
23.2,5,39,33,84.62,1.68,Très Fort,"The candidate demonstrated excellent analytical skills, answering 84.62% of the questions correctly while maintaining a consistent pace throughout the test. Their speed and accuracy suggest strong cognitive abilities. Despite the challenging complexity of the test, they were able to finish most questions without hesitation."
14.0,2,17,1,5.88,1.21,Très Faible,"The candidate's performance was below expectations, with only 5.88% of the questions answered correctly. The high skip rate of 2% points to difficulty with the test's complexity. Their slower-than-average pace suggests time pressure may have hindered their performance. A detailed assessment could help identify areas for improvement and strategies to overcome cognitive barriers."
