questionsAnswered,correct answers,timeSpent,halfCorrect,reversed,questionsSkipped,answerChanges,flaggedQuestions,label
15,11,22.56,0,4,9,2,2,très faible
30,11,14.57,1,4,4,5,5,très faible
35,17,23.91,2,4,18,4,0,faible
13,8,21.62,4,1,13,2,1,très faible
17,6,12.88,7,2,0,3,5,très faible
10,5,20.69,0,5,0,2,0,très faible
18,5,21.3,3,4,13,4,2,très faible
26,12,20.66,4,0,2,1,2,faible
40,4,22.61,9,2,19,4,4,très faible
16,14,24.07,1,1,12,5,2,très faible
25,7,12.55,10,3,1,0,1,très faible
44,43,24.95,0,1,5,2,0,fort
28,16,18.51,5,1,4,4,0,faible
36,6,17.03,3,3,2,4,0,très faible
35,27,17.18,1,5,2,6,2,moyen
43,14,12.04,9,4,15,1,1,très faible
33,30,20.94,0,2,13,3,0,fort
27,10,17.46,8,3,20,4,3,très faible
24,8,17.65,4,1,14,6,4,très faible
39,35,24.57,1,0,5,2,1,fort
34,21,17.47,9,1,2,6,1,moyen
12,2,16.76,5,0,15,4,1,très faible
14,7,18.73,6,1,19,3,1,très faible
26,12,19.6,9,2,12,3,3,faible
38,23,18.53,0,2,13,1,1,moyen
19,14,14.09,5,0,15,4,2,très faible
26,16,24.91,4,4,5,4,2,faible
27,7,24.47,7,2,10,5,4,très faible
38,0,13.43,4,0,9,4,3,très faible
34,24,21.82,3,2,9,5,2,moyen
18,4,23.32,8,1,6,4,4,très faible
24,21,22.01,1,0,14,2,3,faible
24,19,20.51,4,0,0,0,2,faible
33,21,18.1,1,3,12,0,4,moyen
26,10,21.16,8,3,16,1,5,très faible
18,16,22.89,0,2,10,5,2,très faible
29,9,19.74,2,3,17,2,0,très faible
19,12,13.17,5,1,1,0,2,très faible
37,5,21.26,6,4,16,5,2,très faible
32,16,16.87,10,5,16,5,1,faible
25,8,16.06,10,3,3,2,4,très faible
36,26,18.44,0,3,5,2,1,moyen
19,5,17.18,9,3,12,2,2,très faible
10,7,19.64,3,0,7,4,1,très faible
25,13,19.73,4,0,2,1,2,faible
25,21,17.16,0,4,16,6,1,faible
34,30,22.15,0,2,16,6,3,fort
20,17,16.54,3,0,0,2,2,faible
15,15,12.92,0,0,3,2,2,très faible
32,8,23.28,6,3,17,4,1,très faible
37,15,23.71,7,3,20,0,2,faible
43,23,14.02,3,0,16,3,1,faible
13,10,20.03,0,2,14,5,4,très faible
26,16,19.28,8,2,14,2,3,faible
24,2,22.26,3,2,1,6,0,très faible
19,14,22.26,2,1,13,4,3,très faible
30,19,24.26,6,3,1,6,2,moyen
15,4,20.92,7,3,4,6,3,très faible
12,3,22.99,5,3,7,5,4,très faible
44,9,14.3,8,3,17,3,3,très faible
41,33,20.66,7,0,11,3,0,moyen
28,12,16.54,8,5,10,2,1,faible
21,8,19.01,4,4,11,6,2,très faible
32,16,16.71,6,2,14,3,0,faible
21,13,16.27,1,0,5,6,3,faible
22,3,15.07,6,1,5,1,2,très faible
40,3,17.42,4,0,20,2,0,très faible
14,8,22.5,6,0,18,3,4,très faible
21,15,19.51,2,1,6,1,4,faible
41,23,21.46,7,1,11,1,1,faible
41,13,21.5,7,2,15,2,5,très faible
24,18,12.36,2,0,14,1,0,faible
12,5,17.28,0,2,14,0,5,très faible
14,5,12.46,7,2,2,6,2,très faible
43,32,21.21,10,1,6,0,1,moyen
22,6,23.13,10,0,13,1,1,très faible
18,11,22.63,7,0,5,2,2,très faible
26,12,18.17,1,5,0,2,4,faible
37,0,20.83,5,0,2,2,3,très faible
22,15,18.2,6,1,6,2,5,faible
37,6,19.23,1,4,7,3,2,très faible
28,14,18.51,4,1,8,6,2,faible
29,14,17.01,1,4,11,5,4,faible
38,14,16.7,3,1,2,1,0,très faible
28,9,15.95,8,1,15,2,0,très faible
26,12,14.04,4,4,16,0,0,faible
31,4,19.88,5,3,8,1,3,très faible
33,5,15.57,7,4,4,1,3,très faible
17,0,14.84,7,2,15,5,2,très faible
15,11,17.73,1,0,0,6,4,très faible
13,4,20.69,9,0,12,0,5,très faible
28,17,18.9,8,2,16,5,4,faible
25,8,16.07,3,2,19,3,0,très faible
36,36,14.11,0,0,14,5,3,fort
33,13,22.81,10,0,7,5,4,très faible
22,1,17.06,0,4,3,1,4,très faible
27,3,23.91,7,2,13,5,4,très faible
14,2,21.32,6,2,3,1,3,très faible
36,5,20.87,4,3,18,6,3,très faible
41,10,17.76,0,2,17,6,4,très faible
25,2,18.41,7,3,12,4,5,très faible
17,9,15.02,4,2,4,4,2,très faible
18,4,12.69,10,1,15,5,1,très faible
20,8,21.84,5,5,9,2,0,faible
39,3,21.09,4,2,15,5,4,très faible
42,10,17.62,4,3,18,6,1,très faible
29,7,24.33,1,4,12,2,4,très faible
29,14,14.22,2,3,4,4,0,faible
28,2,24.68,3,0,9,0,5,très faible
33,11,16.41,5,5,16,3,2,très faible
29,9,22.41,2,3,18,0,3,très faible
27,4,15.04,9,1,1,2,2,très faible
32,30,17.34,0,2,15,1,4,moyen
38,22,14.23,9,3,1,5,0,faible
17,4,17.33,2,3,9,2,5,très faible
11,8,22.49,1,1,19,2,1,très faible
39,31,15.45,1,0,12,0,4,moyen
11,10,16.37,0,0,12,1,5,très faible
30,26,20.0,2,1,1,5,0,moyen
21,14,24.71,2,0,5,6,2,faible
34,21,23.54,4,5,12,2,0,moyen
37,33,21.83,1,0,4,1,3,fort
32,19,19.73,5,2,6,4,2,faible
29,1,22.08,3,5,2,0,0,très faible
17,17,19.8,0,0,13,4,2,très faible
43,14,21.59,0,1,0,0,1,très faible
23,19,17.14,2,2,1,2,5,faible
42,15,22.96,5,0,14,2,0,très faible
43,13,17.09,3,2,15,1,0,très faible
13,7,21.06,3,2,12,1,2,très faible
21,9,19.2,5,5,18,6,2,faible
38,22,22.99,7,4,11,3,3,faible
24,4,17.84,9,4,8,0,2,très faible
28,5,16.9,6,0,7,6,5,très faible
32,12,16.86,0,0,18,1,0,très faible
18,14,19.67,3,1,20,5,1,très faible
34,7,16.55,8,4,13,4,1,très faible
43,9,18.23,7,1,12,5,4,très faible
18,1,23.72,3,5,16,6,0,très faible
34,11,21.52,10,0,8,5,2,très faible
37,20,20.01,9,3,8,0,5,faible
44,31,20.03,9,4,20,3,5,moyen
38,7,12.99,10,1,6,0,5,très faible
40,8,13.41,3,0,13,2,0,très faible
42,21,16.63,2,0,11,4,0,faible
43,40,19.01,0,2,11,2,0,fort
30,28,12.84,1,1,11,4,4,moyen
22,10,18.86,8,1,7,4,4,faible
21,4,22.36,3,0,10,1,1,très faible
23,10,23.99,6,2,6,4,4,faible
39,38,18.07,1,0,17,6,5,fort
38,11,20.44,4,3,9,1,1,très faible
44,18,19.1,9,2,14,0,5,faible
15,14,18.6,1,0,16,3,5,très faible
13,13,16.19,0,0,16,1,0,très faible
32,15,14.36,1,5,12,4,0,faible
19,7,16.64,0,3,8,1,2,très faible
20,15,23.91,5,0,17,2,5,faible
13,5,24.65,6,2,2,6,1,très faible
43,29,13.26,2,2,18,1,5,moyen
35,31,19.07,1,3,14,6,4,moyen
41,34,15.26,2,5,17,1,3,moyen
37,29,21.56,0,3,13,5,2,moyen
37,11,15.0,4,3,15,6,1,très faible
21,10,20.67,9,2,9,0,0,faible
11,10,19.3,0,1,5,6,0,très faible
42,28,23.24,8,2,10,4,4,moyen
37,37,23.51,0,0,14,2,5,fort
30,23,20.04,2,4,1,4,4,moyen
35,10,17.21,4,3,8,2,5,très faible
13,2,20.8,3,3,14,5,2,très faible
38,4,24.53,0,1,11,6,3,très faible
31,18,14.03,5,1,16,5,2,faible
24,15,17.91,5,4,6,0,2,faible
24,2,23.56,0,0,10,1,4,très faible
42,9,19.33,1,3,2,5,0,très faible
35,33,22.79,0,1,20,5,2,fort
36,25,20.8,0,4,17,2,2,moyen
12,11,15.49,1,0,7,0,2,très faible
43,41,13.8,2,0,15,3,2,fort
15,2,21.9,0,0,17,0,0,très faible
13,4,18.1,0,4,1,4,0,très faible
19,13,16.25,1,0,10,1,3,très faible
44,3,19.95,8,5,11,4,2,très faible
13,3,13.39,2,4,1,6,4,très faible
33,1,23.89,2,5,0,5,1,très faible
31,19,23.32,9,1,19,1,5,moyen
31,1,12.12,6,1,4,3,2,très faible
16,7,15.62,8,1,17,5,1,très faible
29,25,13.73,4,0,10,1,3,moyen
16,5,21.45,3,0,9,5,5,très faible
34,32,16.48,1,0,5,6,2,fort
35,0,17.56,2,5,10,1,2,très faible
42,8,21.35,9,4,0,0,5,très faible
15,10,18.94,1,0,20,5,2,très faible
14,14,20.12,0,0,18,1,4,très faible
10,6,19.35,0,0,17,4,0,très faible
31,7,14.43,4,0,17,0,2,très faible
19,19,12.12,0,0,17,2,1,très faible
40,30,13.39,5,4,10,6,1,moyen
23,13,13.14,6,0,19,5,4,faible
27,22,15.7,0,0,10,3,5,faible
17,15,19.49,0,0,11,5,2,très faible
42,38,13.65,3,0,10,3,1,moyen
32,6,19.93,6,1,19,0,0,très faible
21,5,12.22,2,0,7,1,1,très faible
17,5,15.21,1,4,5,0,5,très faible
24,6,18.47,8,4,6,0,3,très faible
34,20,18.47,1,0,17,2,3,faible
14,12,19.09,0,2,10,6,5,très faible
18,1,16.15,9,3,19,4,2,très faible
34,23,13.88,2,5,8,1,4,moyen
28,2,13.97,3,4,10,2,3,très faible
33,24,19.12,4,2,7,1,3,moyen
28,25,18.1,1,0,13,5,4,faible
22,10,13.29,3,1,14,2,2,faible
39,26,15.77,10,0,20,0,2,moyen
15,2,12.8,9,0,8,3,5,très faible
12,12,18.5,0,0,18,0,3,très faible
42,14,22.32,0,1,11,3,4,très faible
21,6,13.43,8,2,9,5,5,très faible
32,26,12.96,5,1,7,0,4,moyen
15,3,23.35,2,0,10,0,3,très faible
30,9,13.89,0,5,6,0,0,très faible
43,4,15.53,2,4,8,2,3,très faible
28,25,19.53,2,0,8,0,3,faible
29,27,21.45,1,1,11,5,3,moyen
33,15,24.96,6,5,4,5,5,faible
14,5,14.85,3,4,16,2,2,très faible
13,12,18.2,0,0,5,0,2,très faible
28,28,13.94,0,0,5,2,3,faible
24,24,13.53,0,0,10,3,1,faible
42,7,15.78,10,5,1,4,5,très faible
16,12,23.86,2,2,4,1,3,très faible
44,31,15.78,6,1,3,1,5,moyen
33,16,14.18,3,1,5,0,3,faible
14,14,23.9,0,0,0,4,4,très faible
29,2,22.83,3,5,4,1,1,très faible
19,16,19.3,2,1,4,2,4,très faible
33,24,17.95,7,0,11,0,1,moyen
28,19,13.92,1,5,2,2,1,faible
20,11,15.95,1,0,4,4,0,faible
41,36,13.57,4,0,5,5,2,moyen
41,30,15.0,1,1,8,0,2,moyen
36,35,24.65,1,0,19,0,4,fort
14,2,24.11,5,1,15,3,3,très faible
21,1,13.17,9,4,3,2,4,très faible
15,7,21.48,8,0,15,1,1,très faible
16,7,13.38,1,2,20,3,2,très faible
35,32,13.76,3,0,10,4,1,moyen
14,6,16.49,6,0,7,5,3,très faible
30,10,22.94,10,0,2,2,2,très faible
25,24,24.2,0,0,0,6,1,faible
16,13,19.45,0,2,18,3,0,très faible
18,7,23.48,0,3,12,0,4,très faible
14,13,12.58,1,0,19,4,3,très faible
29,28,21.88,0,0,2,3,2,moyen
38,12,12.19,1,3,10,5,0,très faible
38,4,17.85,3,5,14,6,3,très faible
11,3,13.05,5,3,20,4,1,très faible
14,11,20.57,3,0,15,5,3,très faible
36,35,12.95,1,0,16,5,1,fort
14,13,24.84,1,0,14,0,0,très faible
41,39,14.93,0,1,8,3,3,très fort
31,5,14.0,5,3,18,5,4,très faible
17,0,19.21,10,3,6,6,1,très faible
34,4,16.74,7,4,7,2,5,très faible
20,13,17.97,1,2,6,6,1,faible
20,13,12.38,7,0,0,4,4,faible
40,14,22.47,3,4,15,3,3,très faible
39,33,19.34,1,0,5,3,2,moyen
33,0,12.28,10,2,2,1,0,très faible
42,32,14.17,2,3,9,6,4,moyen
30,2,18.57,5,4,16,1,2,très faible
43,6,22.95,7,3,10,4,4,très faible
40,11,13.54,10,1,18,1,0,très faible
39,34,14.2,5,0,18,1,3,moyen
10,0,19.03,1,4,5,2,3,très faible
17,9,16.24,6,1,19,1,0,très faible
32,26,18.83,3,3,8,1,3,moyen
28,13,16.07,5,1,20,3,3,faible
44,27,20.93,0,5,15,0,1,moyen
30,27,23.09,2,1,0,6,2,moyen
17,3,20.81,1,0,14,4,0,très faible
15,15,21.25,0,0,19,4,1,très faible
26,26,14.24,0,0,6,0,1,faible
42,26,15.54,7,2,6,2,4,moyen
10,6,17.79,0,3,11,4,5,très faible
32,5,21.15,5,3,4,1,0,très faible
26,24,17.26,2,0,1,4,2,faible
32,21,20.49,0,2,10,5,3,moyen
12,3,22.61,3,1,10,0,3,très faible
24,18,22.77,1,4,18,5,0,faible
12,1,15.8,10,0,3,0,2,très faible
15,9,18.73,2,3,20,0,0,très faible
16,5,13.9,0,5,20,6,4,très faible
40,39,17.47,1,0,7,2,1,fort
29,2,18.18,3,2,8,0,1,très faible
15,15,16.76,0,0,8,2,0,très faible
14,2,19.88,8,4,5,0,1,très faible
31,3,21.04,7,3,0,3,3,très faible
26,25,12.96,0,0,5,6,1,faible
12,10,15.32,1,0,18,6,1,très faible
36,4,20.81,9,3,10,2,5,très faible
13,1,15.57,10,0,1,3,0,très faible
41,30,22.37,1,5,11,3,0,moyen
25,16,13.24,2,1,1,3,2,faible
14,12,18.58,2,0,18,2,2,très faible
16,0,14.8,5,3,19,4,3,très faible
41,19,20.52,2,2,14,2,2,faible
40,10,17.16,10,1,8,2,4,très faible
31,11,15.96,2,2,5,1,4,très faible
24,24,20.51,0,0,0,1,5,faible
25,11,23.43,1,2,20,2,2,faible
19,17,18.72,0,1,15,5,3,très faible
28,12,12.84,5,2,8,6,0,faible
26,17,13.38,6,0,11,1,1,faible
38,32,14.79,1,0,1,2,4,moyen
14,12,20.79,0,1,13,1,0,très faible
10,1,14.86,7,0,11,6,0,très faible
18,1,12.25,5,5,14,0,1,très faible
19,19,13.18,0,0,17,6,4,très faible
42,31,22.2,6,3,20,0,0,moyen
11,3,16.88,4,1,10,6,0,très faible
41,7,12.96,9,2,15,0,5,très faible
37,7,14.16,4,0,2,6,1,très faible
16,9,23.01,1,0,7,1,1,très faible
13,13,13.56,0,0,10,6,4,très faible
14,9,23.42,2,1,8,3,4,très faible
38,22,16.23,0,0,7,5,4,faible
16,7,20.12,5,4,9,0,5,très faible
33,12,19.69,6,0,14,2,5,très faible
21,6,12.62,6,1,10,1,0,très faible
24,18,23.3,3,1,2,3,2,faible
22,16,13.16,0,1,17,0,2,faible
25,23,24.58,1,1,17,2,4,faible
42,39,14.6,0,1,13,1,4,très fort
31,7,14.46,1,4,17,2,2,très faible
41,18,18.47,6,3,12,0,3,faible
37,19,19.49,2,5,7,3,4,faible
12,8,16.93,0,1,9,3,3,très faible
22,22,20.09,0,0,17,6,3,faible
24,5,13.86,0,0,14,4,5,très faible
40,26,15.81,8,5,17,0,3,moyen
11,1,16.32,9,0,11,4,2,très faible
40,35,18.45,0,5,12,3,1,moyen
28,16,16.53,9,3,5,0,5,faible
35,19,13.24,9,3,16,1,5,faible
38,23,13.73,3,5,3,0,4,moyen
26,19,19.31,1,2,14,0,4,faible
11,1,18.11,3,5,3,4,4,très faible
44,12,22.86,1,4,15,5,0,très faible
40,9,16.3,7,4,3,1,4,très faible
18,16,13.17,2,0,9,1,4,très faible
40,13,19.49,6,2,20,4,4,très faible
40,3,21.03,7,2,15,4,0,très faible
26,26,12.44,0,0,9,4,3,faible
12,2,21.24,1,2,8,1,1,très faible
18,18,22.41,0,0,2,1,1,très faible
21,0,17.23,1,2,5,5,4,très faible
21,12,15.49,6,2,16,2,5,faible
41,30,17.44,4,2,10,1,1,moyen
23,10,19.79,7,4,12,0,1,faible
28,12,21.9,10,2,19,2,2,faible
24,7,24.79,2,2,3,5,4,très faible
10,8,24.27,0,0,10,2,3,très faible
21,0,13.53,4,4,13,1,1,très faible
37,8,19.04,4,1,1,6,5,très faible
36,25,15.71,10,1,16,1,1,moyen
18,16,23.59,0,2,9,4,3,très faible
42,29,14.63,7,3,12,0,1,moyen
28,5,15.27,5,0,18,2,2,très faible
11,11,22.67,0,0,11,1,3,très faible
30,21,24.2,2,4,7,5,2,moyen
38,27,20.5,5,5,2,1,3,moyen
22,21,23.77,0,0,10,2,2,faible
34,25,13.99,9,0,17,5,0,moyen
38,4,16.12,3,0,13,2,1,très faible
27,3,14.61,10,4,8,6,1,très faible
15,7,21.63,2,4,18,4,1,très faible
37,4,18.04,5,0,14,0,2,très faible
23,14,21.49,7,0,6,2,5,faible
20,13,24.26,5,0,14,2,2,faible
20,6,18.03,1,0,8,1,2,très faible
18,10,14.88,6,2,4,4,0,très faible
31,8,18.47,4,4,0,3,0,très faible
23,2,24.99,7,0,2,5,1,très faible
19,5,12.97,10,3,17,6,1,très faible
39,23,23.42,7,3,1,6,3,faible
12,8,23.62,3,1,14,1,5,très faible
10,3,19.86,6,0,6,3,0,très faible
12,1,18.18,7,0,13,1,4,très faible
38,3,13.15,3,2,17,1,2,très faible
19,2,12.63,0,1,2,2,5,très faible
30,10,22.58,4,3,18,3,4,très faible
39,2,21.97,2,3,13,2,5,très faible
13,2,22.96,4,4,1,0,5,très faible
42,8,21.27,3,0,9,0,2,très faible
17,15,23.32,2,0,1,3,5,très faible
23,19,16.18,1,2,11,1,5,faible
34,21,14.83,8,1,18,6,2,moyen
26,20,23.72,1,0,11,0,1,faible
18,18,21.8,0,0,6,1,3,très faible
32,0,14.63,7,3,18,4,1,très faible
15,0,21.98,9,1,15,0,4,très faible
27,24,20.55,1,2,17,5,1,faible
13,5,13.31,0,1,2,6,1,très faible
42,40,22.26,1,0,9,6,0,fort
10,2,18.01,6,0,2,4,3,très faible
23,5,23.24,8,2,10,6,1,très faible
29,9,14.33,3,4,17,4,5,très faible
23,20,19.94,3,0,11,3,3,faible
33,17,23.26,8,0,10,4,1,faible
26,20,21.57,3,3,11,2,0,faible
12,7,13.46,3,0,13,2,0,très faible
22,20,21.29,1,1,0,2,2,faible
28,17,12.18,9,0,11,6,0,faible
36,36,15.74,0,0,9,1,0,fort
31,24,24.27,5,0,1,0,5,moyen
24,10,19.15,10,4,9,1,1,faible
22,15,20.68,5,2,16,1,3,faible
33,33,13.19,0,0,12,5,0,fort
25,25,13.18,0,0,9,2,2,faible
10,7,12.19,1,2,7,0,0,très faible
35,29,18.33,1,5,3,5,5,moyen
15,0,16.87,8,4,13,0,1,très faible
39,7,18.47,2,0,2,1,0,très faible
37,35,13.72,2,0,20,1,2,fort
17,3,14.86,5,4,12,5,0,très faible
37,9,24.56,3,1,2,4,3,très faible
19,18,21.56,1,0,1,2,2,très faible
19,9,19.8,0,5,11,0,0,très faible
44,10,21.86,4,2,4,4,5,très faible
34,18,21.85,8,1,7,1,0,faible
34,11,12.09,4,3,18,4,1,très faible
33,21,21.34,2,5,20,1,1,moyen
15,9,15.67,0,3,18,1,3,très faible
33,33,13.13,0,0,18,5,2,fort
16,3,19.07,8,5,14,0,3,très faible
14,4,22.73,1,4,3,4,3,très faible
11,0,13.51,10,0,18,6,5,très faible
26,0,14.14,0,2,1,0,2,très faible
18,3,22.29,1,3,11,6,5,très faible
28,11,16.09,5,3,10,1,5,très faible
13,13,14.72,0,0,19,3,4,très faible
33,28,21.08,3,1,8,4,3,moyen
27,8,24.96,6,3,1,6,0,très faible
11,6,24.98,3,1,18,3,3,très faible
17,0,20.46,6,1,9,0,4,très faible
43,23,12.59,9,1,16,3,1,faible
27,13,24.41,9,2,1,0,1,faible
14,4,24.91,0,1,15,3,3,très faible
38,36,14.53,0,1,9,5,2,très fort
30,27,22.09,1,1,20,1,4,moyen
33,1,14.0,6,1,19,4,2,très faible
15,5,24.89,4,0,12,4,5,très faible
40,9,12.11,2,5,13,2,3,très faible
44,6,24.71,8,0,16,6,4,très faible
21,6,12.1,6,4,7,3,0,très faible
24,2,17.31,7,0,16,5,0,très faible
13,5,23.22,5,1,10,4,4,très faible
12,6,15.25,6,0,14,2,4,très faible
22,0,24.65,5,3,12,6,4,très faible
28,14,22.97,0,2,9,3,4,faible
26,24,19.46,2,0,14,6,3,faible
25,17,21.02,5,0,14,4,5,faible
15,10,21.38,3,0,14,5,3,très faible
14,4,17.86,1,5,19,3,0,très faible
35,32,16.43,3,0,4,5,4,moyen
39,2,15.04,8,2,18,3,1,très faible
37,28,23.61,1,5,8,5,4,moyen
22,6,24.11,4,4,4,5,2,très faible
35,9,21.7,4,4,11,6,3,très faible
10,5,14.14,2,2,0,0,1,très faible
31,6,23.74,8,2,9,5,3,très faible
35,10,16.3,1,0,5,4,3,très faible
21,4,21.91,9,3,17,1,3,très faible
22,3,14.18,6,1,3,5,2,très faible
16,14,24.54,0,2,13,6,5,très faible
33,22,12.29,3,0,11,1,5,moyen
32,5,24.14,7,4,13,0,4,très faible
22,21,23.25,0,1,9,2,3,faible
42,2,23.37,0,3,19,6,4,très faible
32,10,24.11,3,2,0,4,5,très faible
44,6,24.24,2,3,16,0,1,très faible
37,2,21.82,2,4,15,2,5,très faible
15,9,22.94,3,0,3,5,1,très faible
44,0,14.3,3,5,1,1,2,très faible
24,7,23.3,3,0,9,5,2,très faible
34,12,19.96,6,0,1,3,1,très faible
30,16,17.53,9,3,1,5,0,faible
11,2,16.44,8,1,19,1,2,très faible
18,5,18.32,3,1,5,6,1,très faible
22,9,16.72,1,2,9,4,5,faible
14,2,13.18,6,5,16,5,3,très faible
36,34,15.44,2,0,13,3,5,fort
12,1,24.22,4,3,17,2,2,très faible
28,27,18.28,0,0,3,4,2,faible
42,6,21.55,8,5,3,2,0,très faible
21,16,22.53,0,4,4,2,0,faible
31,5,16.09,3,2,9,0,2,très faible
38,19,24.07,5,1,7,0,0,faible
19,1,22.97,8,3,17,4,3,très faible
32,31,22.93,1,0,14,3,4,moyen
19,17,16.48,1,1,11,0,0,très faible
37,37,20.75,0,0,14,5,3,fort
43,14,22.75,8,5,8,3,5,très faible
29,16,18.98,7,2,19,0,1,faible
28,7,18.06,7,4,5,6,0,très faible
26,5,22.98,10,2,0,4,1,très faible
12,10,12.93,0,0,15,0,5,très faible
18,4,20.81,0,4,13,3,1,très faible
18,12,21.52,6,0,10,1,3,très faible
36,25,12.65,1,3,17,2,0,moyen
43,29,14.8,8,0,2,6,0,moyen
29,20,16.9,3,5,7,6,2,moyen
36,17,17.76,8,0,12,1,0,faible
13,5,18.31,3,1,1,2,3,très faible
29,12,24.95,0,5,19,1,3,faible
26,17,22.14,1,4,14,2,5,faible
34,17,19.49,8,1,1,0,0,faible
16,7,24.25,6,3,2,6,2,très faible
26,16,12.45,0,2,1,5,5,faible
15,1,24.6,0,4,1,1,5,très faible
26,17,12.57,6,0,3,1,0,faible
15,2,15.43,2,5,18,6,5,très faible
30,18,12.43,8,0,19,5,4,moyen
30,21,21.76,1,4,10,0,0,moyen
37,16,17.08,5,5,0,2,4,faible
23,2,12.99,4,1,13,0,4,très faible
22,20,21.2,2,0,17,1,3,faible
40,32,12.97,4,3,17,3,1,moyen
37,13,19.37,7,3,5,3,3,très faible
33,4,12.08,0,5,5,0,4,très faible
27,6,24.19,0,1,2,2,2,très faible
23,17,22.71,4,2,20,2,4,faible
35,22,14.35,6,1,1,4,2,moyen
34,17,12.19,6,5,7,2,4,faible
15,3,17.09,7,5,20,5,2,très faible
36,29,17.5,3,2,18,6,4,moyen
20,19,23.58,1,0,12,3,0,faible
23,23,24.83,0,0,2,3,4,faible
40,36,21.15,2,2,20,5,3,fort
44,5,19.83,8,0,14,2,3,très faible
42,19,16.4,0,1,13,5,1,faible
28,15,18.38,1,4,13,1,3,faible
41,41,19.07,0,0,13,1,4,très fort
15,3,22.94,2,4,12,5,5,très faible
32,26,13.26,0,5,16,0,0,moyen
21,8,18.72,10,0,19,0,2,très faible
23,10,16.92,6,0,13,6,3,faible
29,27,17.76,0,2,4,6,0,moyen
15,9,22.91,2,2,10,6,4,très faible
13,11,20.56,1,0,4,4,0,très faible
15,7,18.34,8,0,15,3,5,très faible
20,8,17.76,0,2,7,2,2,faible
33,22,17.32,6,0,10,5,4,moyen
38,34,23.54,4,0,4,6,5,moyen
25,20,19.75,1,0,9,5,4,faible
12,10,15.1,0,2,0,4,3,très faible
37,24,14.89,6,5,7,5,5,moyen
14,13,20.36,0,1,4,3,1,très faible
18,9,18.13,5,3,0,1,1,très faible
25,13,17.82,2,3,8,3,2,faible
11,4,15.82,4,0,3,3,0,très faible
32,4,24.63,7,5,2,5,0,très faible
21,10,14.18,10,1,5,0,5,faible
11,0,22.16,8,2,9,4,1,très faible
38,34,12.65,2,2,19,1,0,fort
31,24,23.09,1,1,5,0,5,moyen
22,3,24.51,0,4,18,1,3,très faible
21,14,22.13,4,1,8,3,5,faible
38,8,23.9,0,4,9,1,1,très faible
38,16,13.48,1,5,6,2,1,faible
26,16,19.9,2,5,4,1,2,faible
42,37,15.76,4,1,5,5,3,moyen
32,5,20.51,9,2,5,1,2,très faible
38,31,12.29,4,2,6,5,4,moyen
18,14,12.58,0,3,7,3,0,très faible
38,22,18.29,8,4,3,4,1,faible
19,17,14.8,1,0,6,3,3,très faible
43,30,16.42,3,3,16,5,2,moyen
15,3,18.66,6,0,16,0,3,très faible
30,28,18.56,1,1,2,4,4,moyen
29,7,22.16,10,3,7,5,2,très faible
41,28,24.19,4,4,16,6,3,moyen
41,24,23.01,8,4,9,6,3,faible
31,24,13.3,1,1,5,0,3,moyen
37,18,13.28,8,5,14,3,1,faible
26,1,16.78,10,4,7,4,2,très faible
32,0,18.45,8,1,2,2,1,très faible
14,6,19.65,6,2,17,0,0,très faible
29,3,14.15,8,2,6,6,1,très faible
27,25,23.29,0,0,10,1,2,faible
24,17,19.97,7,0,0,4,0,faible
16,16,15.33,0,0,17,1,3,très faible
11,6,22.31,2,3,5,4,1,très faible
39,3,24.97,4,3,1,5,1,très faible
18,12,19.02,3,1,12,0,2,très faible
13,10,22.58,0,3,6,5,0,très faible
18,5,24.57,5,0,17,6,4,très faible
13,3,19.33,10,0,13,0,2,très faible
15,15,15.92,0,0,19,4,4,très faible
23,11,14.89,7,0,4,5,3,faible
10,9,17.4,0,0,11,4,2,très faible
30,19,18.81,3,4,5,0,4,moyen
11,5,15.27,4,2,6,1,3,très faible
17,3,21.5,10,3,8,0,4,très faible
28,15,19.13,1,0,3,5,4,faible
32,9,14.32,0,1,6,0,3,très faible
27,5,16.14,7,4,3,1,4,très faible
24,24,20.75,0,0,12,1,0,faible
24,11,21.36,2,1,18,1,3,faible
27,26,17.78,0,0,4,6,1,faible
19,3,16.12,1,5,4,6,2,très faible
34,11,20.98,10,1,19,4,2,très faible
16,4,16.32,5,4,19,0,5,très faible
30,9,25.0,8,1,14,6,2,très faible
38,15,22.02,7,0,14,6,3,très faible
27,22,24.49,4,1,20,6,1,faible
34,30,23.61,3,1,2,5,2,moyen
22,11,14.02,8,3,6,6,5,faible
29,12,21.27,4,4,3,5,2,faible
10,6,17.5,2,2,18,2,3,très faible
27,21,18.57,4,0,0,3,5,faible
18,4,13.8,9,1,6,0,0,très faible
11,4,22.74,3,1,20,4,1,très faible
16,14,13.56,2,0,14,6,1,très faible
26,6,18.78,1,2,11,0,5,très faible
38,4,18.04,4,1,13,6,4,très faible
28,17,19.47,8,0,9,6,5,faible
25,22,15.45,3,0,13,0,0,faible
39,35,22.92,4,0,1,5,3,moyen
19,17,13.46,0,1,3,5,0,très faible
20,6,12.18,4,1,8,2,1,très faible
36,31,20.87,0,1,1,1,1,fort
12,2,14.06,3,5,10,3,4,très faible
20,6,12.41,7,1,6,6,2,très faible
43,16,22.43,0,2,11,6,1,très faible
41,30,21.95,10,0,20,4,2,moyen
36,17,20.89,0,5,8,0,3,faible
